si_no,name,project_id,po_number,product_name,price,quantity,total_price,po_date,delivery_date,remarks
1,Trust Engineering works,NW54_PR206,PO-HNV/2526/0023,DX-702B-EXP-SPACER 73082019,1350,1,1350,12-11-2025,12-11-2025,"1.Good finish required.
2.Inspection report required at the time of delivery."
2,,,,DX-702B-EXP-ADAPTER 73082019,1550,1,1550,,,
3,,,,DX-702B-EXP-SHAFT 73082019,500,1,500,,,
4,,,,DX-702B-EXP-COUPLER 73082019,650,1,650,,,
5,Trust Engineering works,NW54_PR206,PO-HNV/2526/0022,DX-702B-EXP-SPACER 73082019,1350,1,1350,12-11-2025,12-11-2025,"1.Good finish required.
2.Inspection report required at the time of delivery."
6,,,,DX-702B-EXP-ADAPTER 73082019,1550,1,1550,,,
7,,,,DX-702B-EXP-SHAFT 73082019,500,1,500,,,
8,,,,DX-702B-EXP-COUPLER 73082019,650,1,650,,,
9,Hadvik Industries,AV02,PO-HNV/2526/0037,A007-100-62101C,10600,15,159000,13-12-2025,13-12-2025,
10,,,,A007-100-62102C,2000,16,32000,,,
11,Hadvik Industries,AV02,PO-HNV/2526/0036,A007-100-62101C,10600,15,159000,13-12-2025,13-12-2025,
12,,,,A007-100-62102C,2000,16,32000,,,
13,Allamaprabhu cnc technologies,AT187,PO-HNV/2526/0059,PM2 WEDGE SHAFT-415-00076-R003         Note:1-Alll dimensions apply after zinc plating. 2- Material as per 2D drawing.,1400,6,8400,03-01-2026,01-01-2026,
14,Skymate technologies,UHM01,PO-HNV/2526/0068,C2 Charger base,150,13500,2025000,17-01-2026,30-03-2026,
15,Bharath Electro Chem,AV10,PO-HNV/2526/0070,5A24Q06A001004.01,71,67,4757,28-01-2026,29-01-2026,
16,,,,5A24Q06A001005.01,71,67,4757,,,
17,EKTA CNC PVT LTD,TMP15 & AV27,PO-HNV/2526/0078,Part name :Hinge Top.    Machining  with material as per drawing.,350,10,3500,06-02-2026,12-02-2026,"1.Inspection report and BD required at the time delivery.
2.Export item line marks, dent and damage not accepted.
3.Parts should be manufactured as per drawing.
4.Material certificate required at the time of delivery."
18,,,,Part name :Hinge base.    Machining  with material as per drawing.,300,10,3000,,,
19,,,,Part number:5A25W56A001017.01 .  Machining with material as per drawing.,1050,16,16800,,,
20,,,,Part number:5A25W56A001029.01     machining with material as per drawing,300,16,4800,,,
21,S N TECHONOLEGIES,UHM01,PO-HNV/2526/0101,C2 Charger  Base As machined,140,1000,140000,14-03-2026,28-03-2026,"1.As machined C2 charger base.
2 Dents , line marks scratches not accepted."
22,Guri Industries,AV33,PO-HNV/2526/0104,5A24I85ZF01029.01,1200,2,2400,17-03-2026,17-03-2026,
23,Guri Industries,AV33,PO-HNV/2526/0105,5A24I85ZF01029.01,1200,2,2400,17-03-2026,17-03-2026,
24,LBPM  Engineering Industries,AT195,PO-HNV/2526/0109,Extra bearing spacer,1400,10,14000,20-03-2026,21-03-2026,
25,Guri Industries,AV58,PO-HNV/2526/0126,A007-100-E3917A,1500,10,15000,27-03-2026,28-03-2026,1. Machining with material as per drawing requirements.
26,,,,A007-100-E3913A,1500,10,15000,,,
27,Ultramet Aerospace Private limited,WT29,PO-HNV/2526/0129,306-0369-001 Rev A,2650,30,79500,28-03-2026,11-04-2026,"1. ABS black machining with material.
2. Inspection report & MTC at the time of delivery.
3. Dent, damages not accepted.
4.Dispatch as per discussed date."
28,Guri Industries,WT29,PO-HNV/2526/0130,304-0048-001 Rev A,1500,30,45000,28-03-2026,11-04-2026,1. Anodizing COC required on HanaV name.
29,SS TECHNILOGIES,AB70,PO-HNV/2526/0147,LB2_ZLH_RAIL BASE,1600,2,3200,30-03-2026,30-03-2026,1. Machining and dispatch as per drawing.
30,,,,LB2_ZRH_RAIL BASE,1600,2,3200,,,
31,,,,LB2_ZA_MOTOR MOUNT,950,7,6650,,,
32,,,,LB2_ZA_connecting_mount,700,5,3500,,,
33,AXIS TECHNOLOGIES,UHM01,PO-HNV/2526/0136,C2 Charger base,140,2000,280000,30-03-2026,10-04-2026,
34,VINAYAKA MANUFACTURING SOLUTIONS,UHM01,PO-HNV/2526/0146,C2 Charger  Base As machined,140,2000,280000,30-03-2026,12-04-2026,
35,Regulus Industries,UHM01,PO-HNV/2526/0145,C2 Charger  Base As machined,140,1000,140000,30-03-2026,15-04-2026,
36,Bhairaveshwara technology,UHM01,PO-HNV/2526/0144,C2 Charger  Base As machined,140,4000,560000,30-03-2026,12-04-2026,
37,SS TECHNILOGIES,UHM01,PO-HNV/2526/0143,C2 Charger  Base As machined,140,4000,560000,30-03-2026,12-04-2026,
38,SUNSHINE TECHNOLOGIES,UHM01,PO-HNV/2526/0142,C2 Charger  Base As machined,140,1000,140000,30-03-2026,10-04-2026,
39,SHINE TECHNOLOGIES,UHM01,PO-HNV/2526/0141,C2 Charger base,140,1000,140000,30-03-2026,12-04-2026,
40,SHREE RAGHAVENDRA CNC TECH,UHM01,PO-HNV/2526/0140,C2 Charger  Base As machined,140,2000,280000,30-03-2026,12-04-2026,
41,LBPM  Engineering Industries,UHM01,PO-HNV/2526/0139,C2 Charger base,140,500,70000,30-03-2026,12-04-2026,
42,SHIVA SHAKTHI AEROSPACE,UHM01,PO-HNV/2526/0138,C2 Charger  Base As machined,140,2000,280000,30-03-2026,10-04-2026,
43,AXIS TECHNOLOGIES,UHM01,PO-HNV/2526/0137,C2 Charger base,140,2000,280000,30-03-2026,10-04-2026,
44,VML Technology,UHM01,PO-HNV/2526/0135,C2 Charger  Base As machined,140,2000,280000,30-03-2026,10-04-2026,
45,Nuthana Technologies,UHM01,PO-HNV/2627/0001,C2 Charger  Base As machined,140,3000,420000,01-04-2026,12-04-2026,
46,Phoenix Technologies,UHM01,PO-HNV/2627/0002,C2 Charger  Base As machined,140,2000,280000,01-04-2026,12-04-2026,
47,Allamaprabhu cnc technologies,DS06,PO-HNV/2627/0005,M09-10112,617,188,115996,04-04-2026,25-04-2026,Machining with material as per given drawing.
48,,,,M09-10124,82,188,15416,,,
49,TRIVIK Engineering Solutions,DS06,PO-HNV/2627/0009,M09-10851   Machining with material as per drawing,1650,47,77550,06-04-2026,30-04-2026,"Kindly produce 2 sets on priority basis, will do assemble and give clearance for production."
50,,,,M09-10892  Machining with material as per drawing,1650,94,155100,,,
51,Guri Industries,AB73,PO-HNV/2627/0011,LB1_V2_Y BASE PLATE​,8775,3,26325,07-04-2026,07-04-2026,
52,,,,LB1_V2_Y_AXIS_MOTOR_MOUNT​,3375,3,10125,,,
53,,,,LX3 Y LM BLOCK PLATE TOP​,1573,3,4719,,,
54,VML Technology,UHM01,PO-HNV/2627/0014,C2 Charger  Base As machined,140,1000,140000,08-04-2026,20-04-2026,
