part_number,product_name,po_reference,po_reference_name,total_quantity
031998-M100-001A,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",44
031998-M100-002A,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",44
031998-M100-003A,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",44
031998-M100-004A,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",88
031998-M100-005A ,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",44
031998-M100-006A,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",44
031998-M100-007A,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",44
031998-M100-008A,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",44
031998-M100-009A,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",44
031998-M100-010A,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",44
031998-M100-011A,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",44
031998-M100-012A,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",44
031998-M100-014A,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",44
031998-M100-015A,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",88
031998-M100-016A,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",44
031998-M100-017A ,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",176
031998-M100-018A,.,"PO-001268, PO-001269, PO-001338, PO-001340, PO-001341","AV63-A, AV63-B, AV63C, AV63D, AV63E",176
