part_number,product_name,balance_quantity,invoiced_quantity,balance_quantity
991-00275,5T1 IP Camera Housing WM,10,10,0
415-00374,5T1 Camera IP Mount plate,10,10,0
991-00001,5T1 Electronics Plate WM,10,4,6
472-00438,5T1 SU80 V-Mount,20,20,0
991-00018,5T1 Chassis WM,10,6,4
991-00020,5T1 Front lower Bar WM,10,6,4
991-00021,5T1 Ch Rear Box WM,10,6,4
472-00075,5T1 LH Mudguard,10,6,4
472-00076,5T1 RH Mudguard,10,6,4
472-00077,5T1 LH Mudflap,10,10,0
472-00078,5T1 RH Mudflap,10,10,0
991-00024,5T1 C - Hitch WM,10,6,4
472-00081,5T1 Front bar support plate,20,20,0
991-00171,5T1 Panhard Mounting Bracket,10,6,4
415-00178,5T1 Ballast,10,6,4
472-00443,5T1 Battery Stopper,40,24,16
991-00019,5T1 Front bar WM,10,6,4
415-00243,5T1 Str Limit Switch Mount,10,10,0
415-00244,5T1 Bearing Housing,10,9,1
415-00247,5T1 Str Bearing Cap Upper,10,10,0
472-00735,5T1 Bat Protect LH,10,10,0
472-00736,5T1 Bat Protect RH,10,10,0
472-00739,5T1 Chassis IP Plate 2,10,6,4
991-00272,5T1 Chassis IP plate 1 WM,10,6,4
472-00740,5T1 Cover plate 1,20,20,0
472-00741,5T1 Cover plate 2,20,20,0
991-00027,5T1 RH Swing Arm WM,10,6,4
991-00028,5T1 LH Swing Arm WM,10,6,4
415-00027,5T1 Panhard Rod,10,10,0
417-00001,5T1 SA Spacer,40,40,0
415-00029,5T1 Steering Shaft,10,10,0
415-00030,5T1 Steering Wheel Shaft,10,10,0
415-00032,5T1 Pivoting Arm,20,20,0
991-00032,5T1 Steering Arm _ Left,10,10,0
991-00035,5T1 Steering Arm _ Right,10,10,0
991-00036,5T1 Spring Pin WD - 1,20,20,0
991-00037,5T1 Pivoting Pin WD,20,20,0
991-00038,5T1 Spring Pin WD - 2,20,20,0
991-00255,5T1 Drive encoder Mount Assy 2,10,10,0
415-00044,5T1 Bearing Cap,10,10,0
415-00045,5T1 Steering Key,10,10,0
991-00172,5T1 Drive Encoder Mount Assy,10,10,0
415-00053,5T1 Encoder key,10,10,0
472-00436,5T1 Mudguard,10,10,0
991-00173,5T1 Steering Block assy,10,10,0
415-00248,5T1 Steer limiter 2,10,10,0
415-00001,5T Steering Encoder Mount,10,10,0
415-00046,5T1 Gearbox Mount,10,10,0
415-00268,5T1 Motor Keyway Spacer,10,10,0
991-00174,5T1 Pan Hard Clevis Pin,20,19,1
415-00246,5T1 Str Bearing Cap Lower,10,10,0
415-00245,5T1 Str Bearing Spacer,10,10,0
472-00576,5T1 St Encoder wire holder,10,10,0
991-00215,RH AOFSB Swing arm weld v2,16,0,16
991-00214,LH AOFSB Swing arm Weld v2,16,0,16
415-00256,brass bush v2,32,0,32
415-00271,Harness routing hook New,32,0,32
415-00261,Encoder Mount v2,32,0,32
415-00258,Solid SA Front Wheel KM Shaft,32,0,32
415-00262,Extra bearing spacer,32,0,32
415-00265,FSB Brake spacer,32,0,32
415-00263,8mmx7mm ON brake,32,0,32
415-00269,8mmx7mm Key,32,0,32
415-00264,6mm x6mm key,32,0,32
415-00267,Empty spacer,32,0,32
472-00578,Mudguard SA L,16,0,16
472-00579,Mudguard SA R,16,0,16
415-00342,KMNUT SPACER,32,0,32
Packing,Charge,1,221,-220
Packing ,Charges ,1,133,-132
