"name","project_id","po_number","product_name","quantity","po_date","delivery_date","remarks","@prev_po := po.po_number"
"Trust Engineering works","NW54_PR206","PO-HNV/2526/0023","DX-702B-EXP-SPACER 73082019","1","2025-11-12","2025-11-12","1.Good finish required.
2.Inspection report required at the time of delivery.","PO-HNV/2526/0023"
,,,"DX-702B-EXP-ADAPTER 73082019","1",,,,"PO-HNV/2526/0023"
,,,"DX-702B-EXP-SHAFT 73082019","1",,,,"PO-HNV/2526/0023"
,,,"DX-702B-EXP-COUPLER 73082019","1",,,,"PO-HNV/2526/0023"
"Trust Engineering works","NW54_PR206","PO-HNV/2526/0022","DX-702B-EXP-SPACER 73082019","1","2025-11-12","2025-11-12","1.Good finish required.
2.Inspection report required at the time of delivery.","PO-HNV/2526/0022"
,,,"DX-702B-EXP-ADAPTER 73082019","1",,,,"PO-HNV/2526/0022"
,,,"DX-702B-EXP-SHAFT 73082019","1",,,,"PO-HNV/2526/0022"
,,,"DX-702B-EXP-COUPLER 73082019","1",,,,"PO-HNV/2526/0022"
"Hadvik Industries","AV02","PO-HNV/2526/0037","A007-100-62101C","15","2025-12-13","2025-12-13",,"PO-HNV/2526/0037"
,,,"A007-100-62102C","16",,,,"PO-HNV/2526/0037"
"Hadvik Industries","AV02","PO-HNV/2526/0036","A007-100-62101C","15","2025-12-13","2025-12-13",,"PO-HNV/2526/0036"
,,,"A007-100-62102C","16",,,,"PO-HNV/2526/0036"
"Allamaprabhu cnc technologies","AT187","PO-HNV/2526/0059","PM2 WEDGE SHAFT-415-00076-R003         Note:1-Alll dimensions apply after zinc plating. 2- Material as per 2D drawing.","6","2026-01-03","2026-01-01",,"PO-HNV/2526/0059"
"Skymate technologies","UHM01","PO-HNV/2526/0068","C2 Charger base","13500","2026-01-17","2026-03-30",,"PO-HNV/2526/0068"
"Bharath Electro Chem","AV10","PO-HNV/2526/0070","5A24Q06A001004.01","67","2026-01-28","2026-01-29",,"PO-HNV/2526/0070"
,,,"5A24Q06A001005.01","67",,,,"PO-HNV/2526/0070"
"EKTA CNC PVT LTD","TMP15 & AV27","PO-HNV/2526/0078","Part name :Hinge Top.    Machining  with material as per drawing.","10","2026-02-06","2026-02-12","1.Inspection report and BD required at the time delivery.
2.Export item line marks, dent and damage not accepted.
3.Parts should be manufactured as per drawing.
4.Material certificate required at the time of delivery.","PO-HNV/2526/0078"
,,,"Part name :Hinge base.    Machining  with material as per drawing.","10",,,,"PO-HNV/2526/0078"
,,,"Part number:5A25W56A001017.01 .  Machining with material as per drawing.","16",,,,"PO-HNV/2526/0078"
,,,"Part number:5A25W56A001029.01     machining with material as per drawing","16",,,,"PO-HNV/2526/0078"
"S N TECHONOLEGIES","UHM01","PO-HNV/2526/0101","C2 Charger  Base As machined","1000","2026-03-14","2026-03-28","1.As machined C2 charger base.
2 Dents , line marks scratches not accepted.","PO-HNV/2526/0101"
"Guri Industries","AV33","PO-HNV/2526/0104","5A24I85ZF01029.01","2","2026-03-17","2026-03-17",,"PO-HNV/2526/0104"
"Guri Industries","AV33","PO-HNV/2526/0105","5A24I85ZF01029.01","2","2026-03-17","2026-03-17",,"PO-HNV/2526/0105"
"LBPM  Engineering Industries","AT195","PO-HNV/2526/0109","Extra bearing spacer","10","2026-03-20","2026-03-21",,"PO-HNV/2526/0109"
"Guri Industries","AV58","PO-HNV/2526/0126","A007-100-E3917A","10","2026-03-27","2026-03-28","1. Machining with material as per drawing requirements.","PO-HNV/2526/0126"
,,,"A007-100-E3913A","10",,,,"PO-HNV/2526/0126"
"Ultramet Aerospace Private limited","WT29","PO-HNV/2526/0129","306-0369-001 Rev A","30","2026-03-28","2026-04-11","1. ABS black machining with material.
2. Inspection report & MTC at the time of delivery.
3. Dent, damages not accepted.
4.Dispatch as per discussed date.","PO-HNV/2526/0129"
"Guri Industries","WT29","PO-HNV/2526/0130","304-0048-001 Rev A","30","2026-03-28","2026-04-11","1. Anodizing COC required on HanaV name.","PO-HNV/2526/0130"
"VML Technology","UHM01","PO-HNV/2526/0135","C2 Charger  Base As machined","2000","2026-03-30","2026-04-10",,"PO-HNV/2526/0135"
"SS TECHNILOGIES","AB70","PO-HNV/2526/0147","LB2_ZLH_RAIL BASE","2","2026-03-30","2026-03-30","1. Machining and dispatch as per drawing.","PO-HNV/2526/0147"
,,,"LB2_ZRH_RAIL BASE","2",,,,"PO-HNV/2526/0147"
,,,"LB2_ZA_MOTOR MOUNT","7",,,,"PO-HNV/2526/0147"
,,,"LB2_ZA_connecting_mount","5",,,,"PO-HNV/2526/0147"
"VINAYAKA MANUFACTURING SOLUTIONS","UHM01","PO-HNV/2526/0146","C2 Charger  Base As machined","2000","2026-03-30","2026-04-12",,"PO-HNV/2526/0146"
"Regulus Industries","UHM01","PO-HNV/2526/0145","C2 Charger  Base As machined","1000","2026-03-30","2026-04-15",,"PO-HNV/2526/0145"
"Bhairaveshwara technology","UHM01","PO-HNV/2526/0144","C2 Charger  Base As machined","4000","2026-03-30","2026-04-12",,"PO-HNV/2526/0144"
"SS TECHNILOGIES","UHM01","PO-HNV/2526/0143","C2 Charger  Base As machined","4000","2026-03-30","2026-04-12",,"PO-HNV/2526/0143"
"SUNSHINE TECHNOLOGIES","UHM01","PO-HNV/2526/0142","C2 Charger  Base As machined","1000","2026-03-30","2026-04-10",,"PO-HNV/2526/0142"
"SHINE TECHNOLOGIES","UHM01","PO-HNV/2526/0141","C2 Charger base","1000","2026-03-30","2026-04-12",,"PO-HNV/2526/0141"
"SHREE RAGHAVENDRA CNC TECH","UHM01","PO-HNV/2526/0140","C2 Charger  Base As machined","2000","2026-03-30","2026-04-12",,"PO-HNV/2526/0140"
"LBPM  Engineering Industries","UHM01","PO-HNV/2526/0139","C2 Charger base","500","2026-03-30","2026-04-12",,"PO-HNV/2526/0139"
"SHIVA SHAKTHI AEROSPACE","UHM01","PO-HNV/2526/0138","C2 Charger  Base As machined","2000","2026-03-30","2026-04-10",,"PO-HNV/2526/0138"
"AXIS TECHNOLOGIES","UHM01","PO-HNV/2526/0137","C2 Charger base","2000","2026-03-30","2026-04-10",,"PO-HNV/2526/0137"
"AXIS TECHNOLOGIES","UHM01","PO-HNV/2526/0136","C2 Charger base","2000","2026-03-30","2026-04-10",,"PO-HNV/2526/0136"
"Phoenix Technologies","UHM01","PO-HNV/2627/0002","C2 Charger  Base As machined","2000","2026-04-01","2026-04-12",,"PO-HNV/2627/0002"
"Nuthana Technologies","UHM01","PO-HNV/2627/0001","C2 Charger  Base As machined","3000","2026-04-01","2026-04-12",,"PO-HNV/2627/0001"
"Allamaprabhu cnc technologies","DS06","PO-HNV/2627/0005","M09-10112","188","2026-04-04","2026-04-25","Machining with material as per given drawing.","PO-HNV/2627/0005"
,,,"M09-10124","188",,,,"PO-HNV/2627/0005"
"TRIVIK Engineering Solutions","DS06","PO-HNV/2627/0009","M09-10851   Machining with material as per drawing","47","2026-04-06","2026-04-30","Kindly produce 2 sets on priority basis, will do assemble and give clearance for production.","PO-HNV/2627/0009"
,,,"M09-10892  Machining with material as per drawing","94",,,,"PO-HNV/2627/0009"
"Guri Industries","AB73","PO-HNV/2627/0011","LB1_V2_Y BASE PLATE​","3","2026-04-07","2026-04-07",,"PO-HNV/2627/0011"
,,,"LB1_V2_Y_AXIS_MOTOR_MOUNT​","3",,,,"PO-HNV/2627/0011"
,,,"LX3 Y LM BLOCK PLATE TOP​","3",,,,"PO-HNV/2627/0011"
"Super Mill Technology","UHM01","PO-HNV/2627/0018","C2 Charger  Base As machined","2000","2026-04-08","2026-04-20",,"PO-HNV/2627/0018"
"AXIS TECHNOLOGIES","AT201","PO-HNV/2627/0026","Slot Heat sink Revision 1   Machining with material as per drawing.","50","2026-04-08","2026-04-09",,"PO-HNV/2627/0026"
"G1 Group","AM100M","PO-HNV/2627/0023","15-00794 Job work machining as per drawing","50","2026-04-08","0226-04-10","1.Uniform polish required both side of the parts.
2.Inspection report required at the time of dispatch.","PO-HNV/2627/0023"
,,,"15-00796 Job work machining as per drawing.","30",,,,"PO-HNV/2627/0023"
"G1 Group","AV63","PO-HNV/2627/0022","A007-100-61014B Machining with material as per drawing.","40","2026-04-08","2026-04-25",,"PO-HNV/2627/0022"
"SS TECHNILOGIES","AV59","PO-HNV/2627/0021","5A25W56A001029  machining with material as per drawing","8","2026-04-08","2026-04-08",,"PO-HNV/2627/0021"
,,,"5A2AW57A001010.01    machining with material as per drawing","64",,,,"PO-HNV/2627/0021"
,,,"SACB 60-200-006","1",,,,"PO-HNV/2627/0021"
"SHREE RAGHAVENDRA CNC TECH","NB19","PO-HNV/2627/0020","130317-001 Only turning jobwork as per drawing","831","2026-04-08","2026-04-25","1. Material Tc. inspection report and BD required at the time of dispatch.
2.Route card required along with parts.","PO-HNV/2627/0020"
,,,"P-0000023211-1  Only Turning with material ,as per drawing.","305",,,,"PO-HNV/2627/0020"
"Guri Industries","NB19","PO-HNV/2627/0019","130466-001   Machining as per drawing with material.","19","2026-04-08","2026-04-25","1. Material Tc, inspection report and BD required at the time of dispatch.
2.Export item need good finish.
3.Oiling required at the time of dispatch.(rust not accepted ).","PO-HNV/2627/0019"
,,,"130466-002 Machining as per drawing with material.","238",,,,"PO-HNV/2627/0019"
"Bhairaveshwara technology","UHM01","PO-HNV/2627/0017","C2 Charger  Base As machined","1000","2026-04-08","2026-04-20",,"PO-HNV/2627/0017"
"AXIS TECHNOLOGIES","UHM01","PO-HNV/2627/0016","C2 Charger  Base As machined","2000","2026-04-08","2026-04-20",,"PO-HNV/2627/0016"
"S N TECHONOLEGIES","UHM01","PO-HNV/2627/0015","C2 Charger  Base As machined","1000","2026-04-08","2026-04-20",,"PO-HNV/2627/0015"
"VML Technology","UHM01","PO-HNV/2627/0014","C2 Charger  Base As machined","1000","2026-04-08","2026-04-20",,"PO-HNV/2627/0014"
"SRI RAGHAVENDRA TECHNO SOLUTIONS","VMM08","PO-HNV/2627/0028","Flange bushing- Machining with material as per drawing.","100","2026-04-09","2026-04-14","1.Inspection report and material Tc required at the time of dispatch.","PO-HNV/2627/0028"
"SHREE RAGHAVENDRA CNC TECH","SK08","PO-HNV/2627/0030","12678-SK RING- Jobwork machining as per drawing.","203","2026-04-09","2026-04-09","1.Inspection report & BD required at the time of dispatch.
2.Oiling required at the process and dispatch.","PO-HNV/2627/0030"
,,,"12680-SK RING-Jobwork machining as per drawing.","222",,,,"PO-HNV/2627/0030"
"SS TECHNILOGIES","AV63","PO-HNV/2627/0029","031998-M100-010A - Machining with material as per drawing .","86","2026-04-09","2026-04-13","1. Inspection report & BD required at the time of dispatch.","PO-HNV/2627/0029"
,,,"A007-100-62117C   Machining with material as per drawing.","24",,,,"PO-HNV/2627/0029"
"Guri Industries","RD01","PO-HNV/2627/0033","891-00857 Machining with material asper drawing.","2","2026-04-10","2026-04-10","1. Inspection report and BD required at the time dispatch.","PO-HNV/2627/0033"
"Alcon technologies","UHM01","PO-HNV/2627/0036","C2 Charger  Base As machined","2000","2026-04-10","2026-04-14",,"PO-HNV/2627/0036"
"SEE YES MICRO METHODS","AM86","PO-HNV/2627/0037","CHAMBER - STUBBY FOR 270 & 273 SERIES    Job work Milling","190","2026-04-13","2026-04-14","1.inspection report required at the time of dispatch.","PO-HNV/2627/0037"
"HAPPY SYED ENTERPRISES","AV63","PO-HNV/2627/0038","A007-100-SP01A  Machining with material as per drawing","96","2026-04-13","2026-04-14","1.Inspection report & material certificate required.","PO-HNV/2627/0038"
"Allamaprabhu cnc technologies","AT210","PO-HNV/2627/0040","Brass washers'- machining with material as per drawing","60","2026-04-13","2026-04-13",,"PO-HNV/2627/0040"
"Allamaprabhu cnc technologies","AM94U, AM86U","PO-HNV/2627/0041","FLANGE WELDING AM94-M-Job work Turning & Welding as per drawing","150","2026-04-14","2026-04-15","1.Inspection report required at the time of dispatch.","PO-HNV/2627/0041"
,,,"Chamber body -Job work turning and welding as per drawing.","191",,,,"PO-HNV/2627/0041"
"Allamaprabhu cnc technologies","NB19","PO-HNV/2627/0042","P-0000024509-2 GUIDE PIN-HALF  Only turning with materual as per drawing.","410","2026-04-14","2026-04-22","1.Inspection report and material certificate required at the time of delivery.","PO-HNV/2627/0042"
"Allamaprabhu cnc technologies","RT025","PO-HNV/2627/0043","Pivot shaft -Job work Turning & Taping.","216","2026-04-14","2026-04-19","1.Inspection report required at the time of delivery.
2.Parts Movement to Taping ,HT and grinding supplier scope.","PO-HNV/2627/0043"
"Super Mill Technology","NB19","PO-HNV/2627/0045","131605 -machining with material as per drawing.","35","2026-04-15","2026-04-17","1.Inspection report and material Tc required at the time of dispatch.","PO-HNV/2627/0045"
"Alcon technologies","UHM01","PO-HNV/2627/0046","C2 Charger  Base As machined","2000","2026-04-15","2026-04-21",,"PO-HNV/2627/0046"
"Guri Industries","AV63","PO-HNV/2627/0047","A007-100-E3913A","86","2026-04-16","2026-04-20",,"PO-HNV/2627/0047"
,,,"A007-100-E3917A","86",,,,"PO-HNV/2627/0047"
,,,"031998M100-011","86",,,,"PO-HNV/2627/0047"
"Guri Industries","AV60/61/62","PO-HNV/2627/0048","A007-100-100-62117C","4","2026-04-16","2026-04-20",,"PO-HNV/2627/0048"
,,,"A007-100-100-E3905E","4",,,,"PO-HNV/2627/0048"
,,,"A007-100-100-E3915E","4",,,,"PO-HNV/2627/0048"
