"si_no","name","project_id","po_number","product_name","price","quantity","total_price","po_date","delivery_date","remarks","verifier_report","disapproved_by","disapproval_reason","@prev_po := po.po_number"
"1","Trust Engineering works","NW54_PR206","PO-HNV/2526/0023","DX-702B-EXP-SPACER 73082019","1350.00","1","1350.00","2025-11-12","2025-11-12","1.Good finish required.
2.Inspection report required at the time of delivery.",NULL,NULL,NULL,"PO-HNV/2526/0023"
"2",,,,"DX-702B-EXP-ADAPTER 73082019","1550.00","1","1550.00",,,,,,,"PO-HNV/2526/0023"
"3",,,,"DX-702B-EXP-SHAFT 73082019","500.00","1","500.00",,,,,,,"PO-HNV/2526/0023"
"4",,,,"DX-702B-EXP-COUPLER 73082019","650.00","1","650.00",,,,,,,"PO-HNV/2526/0023"
"5","Trust Engineering works","NW54_PR206","PO-HNV/2526/0022","DX-702B-EXP-SPACER 73082019","1350.00","1","1350.00","2025-11-12","2025-11-12","1.Good finish required.
2.Inspection report required at the time of delivery.","Approved",NULL,NULL,"PO-HNV/2526/0022"
"6",,,,"DX-702B-EXP-ADAPTER 73082019","1550.00","1","1550.00",,,,,,,"PO-HNV/2526/0022"
"7",,,,"DX-702B-EXP-SHAFT 73082019","500.00","1","500.00",,,,,,,"PO-HNV/2526/0022"
"8",,,,"DX-702B-EXP-COUPLER 73082019","650.00","1","650.00",,,,,,,"PO-HNV/2526/0022"
"9","Hadvik Industries","AV02","PO-HNV/2526/0037","A007-100-62101C","10600.00","15","159000.00","2025-12-13","2025-12-13",,NULL,NULL,NULL,"PO-HNV/2526/0037"
"10",,,,"A007-100-62102C","2000.00","16","32000.00",,,,,,,"PO-HNV/2526/0037"
"11","Hadvik Industries","AV02","PO-HNV/2526/0036","A007-100-62101C","10600.00","15","159000.00","2025-12-13","2025-12-13",,"Approved",NULL,NULL,"PO-HNV/2526/0036"
"12",,,,"A007-100-62102C","2000.00","16","32000.00",,,,,,,"PO-HNV/2526/0036"
"13","Allamaprabhu cnc technologies","AT187","PO-HNV/2526/0059","PM2 WEDGE SHAFT-415-00076-R003         Note:1-Alll dimensions apply after zinc plating. 2- Material as per 2D drawing.","1400.00","6","8400.00","2026-01-03","2026-01-01",,"Approved",NULL,NULL,"PO-HNV/2526/0059"
"14","Skymate technologies","UHM01","PO-HNV/2526/0068","C2 Charger base","150.00","13500","2025000.00","2026-01-17","2026-03-30",,"Approved",NULL,NULL,"PO-HNV/2526/0068"
"15","Bharath Electro Chem","AV10","PO-HNV/2526/0070","5A24Q06A001004.01","71.00","67","4757.00","2026-01-28","2026-01-29",,"Approved",NULL,NULL,"PO-HNV/2526/0070"
"16",,,,"5A24Q06A001005.01","71.00","67","4757.00",,,,,,,"PO-HNV/2526/0070"
"17","EKTA CNC PVT LTD","TMP15 & AV27","PO-HNV/2526/0078","Part name :Hinge Top.    Machining  with material as per drawing.","350.00","10","3500.00","2026-02-06","2026-02-12","1.Inspection report and BD required at the time delivery.
2.Export item line marks, dent and damage not accepted.
3.Parts should be manufactured as per drawing.
4.Material certificate required at the time of delivery.","Approved",NULL,NULL,"PO-HNV/2526/0078"
"18",,,,"Part name :Hinge base.    Machining  with material as per drawing.","300.00","10","3000.00",,,,,,,"PO-HNV/2526/0078"
"19",,,,"Part number:5A25W56A001017.01 .  Machining with material as per drawing.","1050.00","16","16800.00",,,,,,,"PO-HNV/2526/0078"
"20",,,,"Part number:5A25W56A001029.01     machining with material as per drawing","300.00","16","4800.00",,,,,,,"PO-HNV/2526/0078"
"21","S N TECHONOLEGIES","UHM01","PO-HNV/2526/0101","C2 Charger  Base As machined","140.00","1000","140000.00","2026-03-14","2026-03-28","1.As machined C2 charger base.
2 Dents , line marks scratches not accepted.","Approved",NULL,NULL,"PO-HNV/2526/0101"
"22","Guri Industries","AV33","PO-HNV/2526/0104","5A24I85ZF01029.01","1200.00","2","2400.00","2026-03-17","2026-03-17",,NULL,"6","DOuble entry","PO-HNV/2526/0104"
"23","Guri Industries","AV33","PO-HNV/2526/0105","5A24I85ZF01029.01","1200.00","2","2400.00","2026-03-17","2026-03-17",,"Approved",NULL,NULL,"PO-HNV/2526/0105"
"24","LBPM  Engineering Industries","AT195","PO-HNV/2526/0109","Extra bearing spacer","1400.00","10","14000.00","2026-03-20","2026-03-21",,"Approved",NULL,NULL,"PO-HNV/2526/0109"
"25","Guri Industries","AV58","PO-HNV/2526/0126","A007-100-E3917A","1500.00","10","15000.00","2026-03-27","2026-03-28","1. Machining with material as per drawing requirements.","Approved",NULL,NULL,"PO-HNV/2526/0126"
"26",,,,"A007-100-E3913A","1500.00","10","15000.00",,,,,,,"PO-HNV/2526/0126"
"27","Ultramet Aerospace Private limited","WT29","PO-HNV/2526/0129","306-0369-001 Rev A","2650.00","30","79500.00","2026-03-28","2026-04-11","1. ABS black machining with material.
2. Inspection report & MTC at the time of delivery.
3. Dent, damages not accepted.
4.Dispatch as per discussed date.","Approved",NULL,NULL,"PO-HNV/2526/0129"
"28","Guri Industries","WT29","PO-HNV/2526/0130","304-0048-001 Rev A","1500.00","30","45000.00","2026-03-28","2026-04-11","1. Anodizing COC required on HanaV name.","Approved",NULL,NULL,"PO-HNV/2526/0130"
"29","SS TECHNILOGIES","AB70","PO-HNV/2526/0147","LB2_ZLH_RAIL BASE","1600.00","2","3200.00","2026-03-30","2026-03-30","1. Machining and dispatch as per drawing.","Approved",NULL,NULL,"PO-HNV/2526/0147"
"30",,,,"LB2_ZRH_RAIL BASE","1600.00","2","3200.00",,,,,,,"PO-HNV/2526/0147"
"31",,,,"LB2_ZA_MOTOR MOUNT","950.00","7","6650.00",,,,,,,"PO-HNV/2526/0147"
"32",,,,"LB2_ZA_connecting_mount","700.00","5","3500.00",,,,,,,"PO-HNV/2526/0147"
"33","AXIS TECHNOLOGIES","UHM01","PO-HNV/2526/0136","C2 Charger base","140.00","2000","280000.00","2026-03-30","2026-04-10",,"Approved",NULL,NULL,"PO-HNV/2526/0136"
"34","VINAYAKA MANUFACTURING SOLUTIONS","UHM01","PO-HNV/2526/0146","C2 Charger  Base As machined","140.00","2000","280000.00","2026-03-30","2026-04-12",,"Approved",NULL,NULL,"PO-HNV/2526/0146"
"35","Regulus Industries","UHM01","PO-HNV/2526/0145","C2 Charger  Base As machined","140.00","1000","140000.00","2026-03-30","2026-04-15",,"Approved",NULL,NULL,"PO-HNV/2526/0145"
"36","Bhairaveshwara technology","UHM01","PO-HNV/2526/0144","C2 Charger  Base As machined","140.00","4000","560000.00","2026-03-30","2026-04-12",,"Approved",NULL,NULL,"PO-HNV/2526/0144"
"37","SS TECHNILOGIES","UHM01","PO-HNV/2526/0143","C2 Charger  Base As machined","140.00","4000","560000.00","2026-03-30","2026-04-12",,"Approved",NULL,NULL,"PO-HNV/2526/0143"
"38","SUNSHINE TECHNOLOGIES","UHM01","PO-HNV/2526/0142","C2 Charger  Base As machined","140.00","1000","140000.00","2026-03-30","2026-04-10",,"Approved",NULL,NULL,"PO-HNV/2526/0142"
"39","SHINE TECHNOLOGIES","UHM01","PO-HNV/2526/0141","C2 Charger base","140.00","1000","140000.00","2026-03-30","2026-04-12",,"Approved",NULL,NULL,"PO-HNV/2526/0141"
"40","SHREE RAGHAVENDRA CNC TECH","UHM01","PO-HNV/2526/0140","C2 Charger  Base As machined","140.00","2000","280000.00","2026-03-30","2026-04-12",,"Approved",NULL,NULL,"PO-HNV/2526/0140"
"41","LBPM  Engineering Industries","UHM01","PO-HNV/2526/0139","C2 Charger base","140.00","500","70000.00","2026-03-30","2026-04-12",,"Approved",NULL,NULL,"PO-HNV/2526/0139"
"42","SHIVA SHAKTHI AEROSPACE","UHM01","PO-HNV/2526/0138","C2 Charger  Base As machined","140.00","2000","280000.00","2026-03-30","2026-04-10",,"Approved",NULL,NULL,"PO-HNV/2526/0138"
"43","AXIS TECHNOLOGIES","UHM01","PO-HNV/2526/0137","C2 Charger base","140.00","2000","280000.00","2026-03-30","2026-04-10",,NULL,"6","Double entry","PO-HNV/2526/0137"
"44","VML Technology","UHM01","PO-HNV/2526/0135","C2 Charger  Base As machined","140.00","2000","280000.00","2026-03-30","2026-04-10",,"Approved",NULL,NULL,"PO-HNV/2526/0135"
"45","Nuthana Technologies","UHM01","PO-HNV/2627/0001","C2 Charger  Base As machined","140.00","3000","420000.00","2026-04-01","2026-04-12",,"Approved",NULL,NULL,"PO-HNV/2627/0001"
"46","Phoenix Technologies","UHM01","PO-HNV/2627/0002","C2 Charger  Base As machined","140.00","2000","280000.00","2026-04-01","2026-04-12",,"Approved",NULL,NULL,"PO-HNV/2627/0002"
"47","Allamaprabhu cnc technologies","DS06","PO-HNV/2627/0005","M09-10112","617.00","188","115996.00","2026-04-04","2026-04-25","Machining with material as per given drawing.","Approved",NULL,NULL,"PO-HNV/2627/0005"
"48",,,,"M09-10124","82.00","188","15416.00",,,,,,,"PO-HNV/2627/0005"
"49","TRIVIK Engineering Solutions","DS06","PO-HNV/2627/0009","M09-10851   Machining with material as per drawing","1650.00","47","77550.00","2026-04-06","2026-04-30","Kindly produce 2 sets on priority basis, will do assemble and give clearance for production.","Approved",NULL,NULL,"PO-HNV/2627/0009"
"50",,,,"M09-10892  Machining with material as per drawing","1650.00","94","155100.00",,,,,,,"PO-HNV/2627/0009"
"51","Guri Industries","AB73","PO-HNV/2627/0011","LB1_V2_Y BASE PLATE​","8775.00","3","26325.00","2026-04-07","2026-04-07",,"Approved",NULL,NULL,"PO-HNV/2627/0011"
"52",,,,"LB1_V2_Y_AXIS_MOTOR_MOUNT​","3375.00","3","10125.00",,,,,,,"PO-HNV/2627/0011"
"53",,,,"LX3 Y LM BLOCK PLATE TOP​","1573.00","3","4719.00",,,,,,,"PO-HNV/2627/0011"
"54","VML Technology","UHM01","PO-HNV/2627/0014","C2 Charger  Base As machined","140.00","1000","140000.00","2026-04-08","2026-04-20",,"Approved",NULL,NULL,"PO-HNV/2627/0014"
"55","S N TECHONOLEGIES","UHM01","PO-HNV/2627/0015","C2 Charger  Base As machined","140.00","1000","140000.00","2026-04-08","2026-04-20",,"Approved",NULL,NULL,"PO-HNV/2627/0015"
"56","AXIS TECHNOLOGIES","UHM01","PO-HNV/2627/0016","C2 Charger  Base As machined","140.00","2000","280000.00","2026-04-08","2026-04-20",,"Approved",NULL,NULL,"PO-HNV/2627/0016"
"57","Bhairaveshwara technology","UHM01","PO-HNV/2627/0017","C2 Charger  Base As machined","140.00","1000","140000.00","2026-04-08","2026-04-20",,"Approved",NULL,NULL,"PO-HNV/2627/0017"
"58","Super Mill Technology","UHM01","PO-HNV/2627/0018","C2 Charger  Base As machined","140.00","2000","280000.00","2026-04-08","2026-04-20",,"Approved",NULL,NULL,"PO-HNV/2627/0018"
"59","Guri Industries","NB19","PO-HNV/2627/0019","130466-001   Machining as per drawing with material.","263.00","19","4997.00","2026-04-08","2026-04-25","1. Material Tc, inspection report and BD required at the time of dispatch.
2.Export item need good finish.
3.Oiling required at the time of dispatch.(rust not accepted ).","Approved",NULL,NULL,"PO-HNV/2627/0019"
"60",,,,"130466-002 Machining as per drawing with material.","263.00","238","62594.00",,,,,,,"PO-HNV/2627/0019"
"61","SHREE RAGHAVENDRA CNC TECH","NB19","PO-HNV/2627/0020","130317-001 Only turning jobwork as per drawing","125.00","831","103875.00","2026-04-08","2026-04-25","1. Material Tc. inspection report and BD required at the time of dispatch.
2.Route card required along with parts.","Approved",NULL,NULL,"PO-HNV/2627/0020"
"62",,,,"P-0000023211-1  Only Turning with material ,as per drawing.","58.00","305","17690.00",,,,,,,"PO-HNV/2627/0020"
"63","SS TECHNILOGIES","AV59","PO-HNV/2627/0021","5A25W56A001029  machining with material as per drawing","450.00","8","3600.00","2026-04-08","2026-04-08",,"Approved",NULL,NULL,"PO-HNV/2627/0021"
"64",,,,"5A2AW57A001010.01    machining with material as per drawing","500.00","64","32000.00",,,,,,,"PO-HNV/2627/0021"
"65",,,,"SACB 60-200-006","1500.00","1","1500.00",,,,,,,"PO-HNV/2627/0021"
"66","G1 Group","AV63","PO-HNV/2627/0022","A007-100-61014B Machining with material as per drawing.","1000.00","40","40000.00","2026-04-08","2026-04-25",,"Approved",NULL,NULL,"PO-HNV/2627/0022"
"67","G1 Group","AM100M","PO-HNV/2627/0023","15-00794 Job work machining as per drawing","268.00","50","13400.00","2026-04-08","0226-04-10","1.Uniform polish required both side of the parts.
2.Inspection report required at the time of dispatch.","Approved",NULL,NULL,"PO-HNV/2627/0023"
"68",,,,"15-00796 Job work machining as per drawing.","760.00","30","22800.00",,,,,,,"PO-HNV/2627/0023"
"69","AXIS TECHNOLOGIES","AT201","PO-HNV/2627/0026","Slot Heat sink Revision 1   Machining with material as per drawing.","3800.00","50","190000.00","2026-04-08","2026-04-09",,"Approved",NULL,NULL,"PO-HNV/2627/0026"
"70","SHREE RAGHAVENDRA CNC TECH","SK08","PO-HNV/2627/0030","12678-SK RING- Jobwork machining as per drawing.","130.00","203","26390.00","2026-04-09","2026-04-09","1.Inspection report & BD required at the time of dispatch.
2.Oiling required at the process and dispatch.","Approved",NULL,NULL,"PO-HNV/2627/0030"
"71",,,,"12680-SK RING-Jobwork machining as per drawing.","110.00","222","24420.00",,,,,,,"PO-HNV/2627/0030"
"72","SS TECHNILOGIES","AV63","PO-HNV/2627/0029","031998-M100-010A - Machining with material as per drawing .","280.00","86","24080.00","2026-04-09","2026-04-13","1. Inspection report & BD required at the time of dispatch.","Approved",NULL,NULL,"PO-HNV/2627/0029"
"73",,,,"A007-100-62117C   Machining with material as per drawing.","1600.00","24","38400.00",,,,,,,"PO-HNV/2627/0029"
"74","SRI RAGHAVENDRA TECHNO SOLUTIONS","VMM08","PO-HNV/2627/0028","Flange bushing- Machining with material as per drawing.","60.00","100","6000.00","2026-04-09","2026-04-14","1.Inspection report and material Tc required at the time of dispatch.","Approved",NULL,NULL,"PO-HNV/2627/0028"
"75","Guri Industries","RD01","PO-HNV/2627/0033","891-00857 Machining with material asper drawing.","3350.00","2","6700.00","2026-04-10","2026-04-10","1. Inspection report and BD required at the time dispatch.","Approved",NULL,NULL,"PO-HNV/2627/0033"
"76","Alcon technologies","UHM01","PO-HNV/2627/0036","C2 Charger  Base As machined","140.00","2000","280000.00","2026-04-10","2026-04-14",,"Approved",NULL,NULL,"PO-HNV/2627/0036"
