"part_number","product_name","price","quantity","total_price"
"SUBCON REC CSS01325111 01","M1S10001206","938.00","1","938.00"
"SUBCON REC CSS01325112 01","M1S10001206","375.00","314","117750.00"
"SUBCON REC CSS01325113 01","M1S10001207","470.00","1","470.00"
"SUBCON REC CSS01325114 01","M1S10001207","188.00","314","59032.00"
"SUBCON REC CSS01325115 01","M1S10001209","8750.00","1","8750.00"
"SUBCON REC CSS01325116 01","M1S10001209","3500.00","44","154000.00"
"SUBCON REC CSS01325117 01","M1S10001211","4845.00","1","4845.00"
"SUBCON REC CSS01325118 01","M1S10001211","1938.00","44","85272.00"
"SUBCON REC CSS01325119 01","M1S10001262-P1","11473.00","1","11473.00"
"SUBCON REC CSS01325120 01","M1S10001262-P1","4589.00","29","133081.00"
"SUBCON REC CSS01325121 01","M1S10001262-P2","9560.00","1","9560.00"
"SUBCON REC CSS01325122 01","M1S10001262-P2","3824.00","44","168256.00"
"SUBCON REC CSS01325123 01","M1S10001262-P3","7648.00","1","7648.00"
"SUBCON REC CSS01325124 01","M1S10001262-P3","3059.00","29","88711.00"
"SUBCON REC CSS01325125 01","M1S10001262-P4","3825.00","1","3825.00"
"SUBCON REC CSS01325126 01","M1S10001262-P4","1530.00","44","67320.00"
"SUBCON REC CSS01325127 01","M1S10001262-P5","15295.00","1","15295.00"
"SUBCON REC CSS01325128 01","M1S10001262-P5","6118.00","14","85652.00"
"SUBCON REC CSS01325129 01","M1S10001262-P6","9560.00","1","9560.00"
"SUBCON REC CSS01325130 01","M1S10001262-P6","3824.00","89","340336.00"
"SUBCON REC CSS01325131 01","M1S10001262-P8","11473.00","1","11473.00"
"SUBCON REC CSS01325132 01","M1S10001262-P8","4589.00","14","64246.00"
